15:56:21: newinfo
00:06:15: Decomposing movements and ethograms, time elapse: 114.576seconds
00:06:48: Decomposing completed, time elapse: 909.063seconds
00:16:08: Decomposing poses, time elapse: 351.008seconds
00:16:09: Calculating kernel matrix, time elapse: 0.436seconds
00:16:53: Decomposing movements and ethograms, time elapse: 44.06seconds
00:17:05: Decomposing completed, time elapse: 408.242seconds
00:33:09: Decomposing poses, time elapse: 351.656seconds
00:33:09: Calculating kernel matrix, time elapse: 0.457seconds
00:33:58: Decomposing movements and ethograms, time elapse: 48.746seconds
00:34:12: Decomposing completed, time elapse: 414.465seconds
00:41:07: Decomposing poses, time elapse: 391.739seconds
00:41:07: Calculating kernel matrix, time elapse: 0.611seconds
00:44:05: Decomposing movements and ethograms, time elapse: 177.969seconds
00:44:21: Decomposing completed, time elapse: 586.169seconds
00:51:17: Decomposing poses, time elapse: 385.559seconds
00:51:18: Calculating kernel matrix, time elapse: 0.424seconds
00:53:20: Decomposing movements and ethograms, time elapse: 122.066seconds
00:53:34: Decomposing completed, time elapse: 522.133seconds
01:00:09: Decomposing poses, time elapse: 373.71seconds
01:00:10: Calculating kernel matrix, time elapse: 0.438seconds
01:00:55: Decomposing movements and ethograms, time elapse: 45.464seconds
01:01:08: Decomposing completed, time elapse: 432.766seconds
01:07:45: Decomposing poses, time elapse: 375.374seconds
01:07:46: Calculating kernel matrix, time elapse: 0.44seconds
01:09:45: Decomposing movements and ethograms, time elapse: 119.201seconds
01:09:58: Decomposing completed, time elapse: 508.056seconds
01:16:29: Decomposing poses, time elapse: 369.45seconds
01:16:29: Calculating kernel matrix, time elapse: 0.511seconds
01:18:56: Decomposing movements and ethograms, time elapse: 146.545seconds
01:19:09: Decomposing completed, time elapse: 530.189seconds
01:26:11: Decomposing poses, time elapse: 395.621seconds
01:26:12: Calculating kernel matrix, time elapse: 0.667seconds
01:29:20: Decomposing movements and ethograms, time elapse: 188.644seconds
01:29:37: Decomposing completed, time elapse: 601.42seconds
01:36:42: Decomposing poses, time elapse: 392.618seconds
01:36:43: Calculating kernel matrix, time elapse: 0.86seconds
01:40:46: Decomposing movements and ethograms, time elapse: 242.461seconds
01:41:03: Decomposing completed, time elapse: 653.14seconds
01:47:48: Decomposing poses, time elapse: 363.211seconds
01:47:49: Calculating kernel matrix, time elapse: 0.523seconds
01:50:12: Decomposing movements and ethograms, time elapse: 143.853seconds
01:50:26: Decomposing completed, time elapse: 520.736seconds
