03:29:28: Decomposing poses, time elapse: 90.702seconds
03:29:29: Calculating kernel matrix, time elapse: 0.812seconds
03:32:40: Decomposing movements and ethograms, time elapse: 188.541seconds
03:32:40: Decomposing completed, time elapse: 282.294seconds
03:35:16: Decomposing poses, time elapse: 112.529seconds
03:35:20: Calculating kernel matrix, time elapse: 1.22seconds
04:16:25: Decomposing poses, time elapse: 120.899seconds
04:16:28: Calculating kernel matrix, time elapse: 2.864seconds
04:22:57: Decomposing movements and ethograms, time elapse: 388.944seconds
04:22:57: Decomposing completed, time elapse: 513.495seconds
13:17:22: Decomposing poses, time elapse: 88.266seconds
13:17:23: Calculating kernel matrix, time elapse: 1.509seconds
13:21:35: Decomposing movements and ethograms, time elapse: 251.928seconds
13:21:35: Decomposing completed, time elapse: 341.878seconds
16:43:49: Decomposing poses, time elapse: 107.616seconds
16:43:51: Calculating kernel matrix, time elapse: 2.208seconds
16:48:37: Decomposing movements and ethograms, time elapse: 285.913seconds
16:48:37: Decomposing completed, time elapse: 395.816seconds
